speaker_id,gender,topics,conv_id,turn,text,length,label,clean_text,age_cat,clean_length
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,4,no it's just off Google,6,19_29,google,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,8,well I have to swap over to Windows but I'll,11,19_29,well swap windows,19-29,3
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,12,it's the Mac operating system,6,19_29,mac operating system,19-29,3
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,17,"alright <pause dur=""short"" /> never did that <unclear>read that</unclear> then <pause dur=""short"" /> eight pages in <vocal desc=""laugh"" />",8,19_29,alright pause dur short never unclear read unclear pause dur short eight pages vocal desc laugh,19-29,16
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,21,so the thing when you're travelling and doing so many things you do tend to not read very much,20,19_29,thing travelling many things tend read much,19-29,7
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,32,got it off Google,4,19_29,got google,19-29,2
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,33,ah dude your desktop is horrible,6,19_29,ah dude desktop horrible,19-29,4
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,38,"suppose <pause dur=""short"" /> money <pause dur=""short"" /> money money money",5,19_29,suppose pause dur short money pause dur short money money money,19-29,11
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,45,you being unorganised?,4,19_29,unorganised,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,47,"<vocal desc=""laugh"" />",0,19_29,vocal desc laugh,19-29,3
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,54,mm,1,19_29,mm,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,58,this is a Mac one or,6,19_29,mac one,19-29,2
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,59,does it just come free with it?,8,19_29,come free,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,64,mm,1,19_29,mm,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,71,"<vocal desc=""laugh"" />",0,19_29,vocal desc laugh,19-29,3
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,73,"er it's pretty terrible pretty bad <pause dur=""short"" /> you get better quickly though when you play it <pause dur=""short"" /> I'm sure we as long as we get <unclear>okay</unclear> <unclear />",26,19_29,er pretty terrible pretty bad pause dur short get better quickly though play pause dur short sure long get unclear okay unclear unclear,19-29,23
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,76,that's a shooter,4,19_29,shooter,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,78,it's quite cool,4,19_29,quite cool,19-29,2
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,87,cool,1,19_29,cool,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,91,"it looks a bit crazy <pause dur=""short"" /> that's all good <pause dur=""short"" /> are you sure this isn't Bane's mask?",19,19_29,looks bit crazy pause dur short good pause dur short sure bane mask,19-29,13
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,93,"so <unclear /> is <trunc>t</trunc> it tiny <pause dur=""short"" /> oh Stonehenge a Brit through and through",12,19_29,unclear trunc trunc tiny pause dur short oh stonehenge brit,19-29,10
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,97,I think you've been playing this for years haven't you?,13,19_29,think playing years,19-29,3
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,102,"yeah <pause dur=""short"" /> I'll show you this one quickly here",9,19_29,yeah pause dur short show one quickly,19-29,7
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,117,"but I mean like <pause dur=""short"" /> what happens if your one breaks and then you'd a backup wouldn't you?",20,19_29,mean like pause dur short happens one breaks backup,19-29,9
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,126,"yeah <pause dur=""short"" /> that's probably",4,19_29,yeah pause dur short probably,19-29,5
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,130,"just cos I got that one <pause dur=""short"" /> there's not really any difference to be honest",15,19_29,cos got one pause dur short really difference honest,19-29,9
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,134,"nothing <pause dur=""short"" /> I just for some reason I wanted a new mouse cos I got bored with that one cos I had it for years",24,19_29,nothing pause dur short reason wanted new mouse cos got bored one cos years,19-29,14
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,135,"<vocal desc=""laugh"" />",0,19_29,vocal desc laugh,19-29,3
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,140,yeah it's fine,4,19_29,yeah fine,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,160,how did they make a film out of it and call it World War Z?,16,19_29,make film call world war z,19-29,6
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,162,yeah,1,19_29,yeah,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,164,god the film's crap,5,19_29,god film crap,19-29,3
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,166,it's just action,4,19_29,action,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,175,"it's pretty poor yeah <pause dur=""short"" /> I wanted him to read this though cos this is genuinely a good book <pause dur=""short"" /> there's one like they missed out loads of bits that are in this <pause dur=""short"" /> the the zombies in this water doesn't stop them <pause dur=""short"" /> they try like living on islands or like being out on boats and stuff but the zombies just sink and they walk along the seabed <pause dur=""short"" /> and then eventually they find like a chain with an anchor and they start pulling themselves out so like they start like climbing on boats and stuff",95,19_29,pretty poor yeah pause dur short wanted read though cos genuinely good book pause dur short one like missed loads bits pause dur short zombies water stop pause dur short try like living islands like boats stuff zombies sink walk along seabed pause dur short eventually find like chain anchor start pulling like start like climbing boats stuff,19-29,58
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,183,the speakers are coming <unclear />,5,19_29,speakers coming unclear,19-29,3
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,188,"I dunno <pause dur=""short"" /> hopefully <vocal desc=""laugh"" /> the thing is now like <unclear>almost just er</unclear>",10,19_29,dunno pause dur short hopefully vocal desc laugh thing like unclear almost er unclear,19-29,14
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,190,reflects,1,19_29,reflects,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,200,yeah,1,19_29,yeah,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,205,alright that's picking up,5,19_29,alright picking,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,206,"that's good <pause dur=""short"" /> and then pad two pad four can be",11,19_29,good pause dur short pad two pad four,19-29,8
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,213,yeah cool,2,19_29,yeah cool,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,214,"but not for that game <pause dur=""short"" /> doesn't seem to be working though <pause dur=""short"" /> woah <pause dur=""short"" /> that was weird <pause dur=""short"" /> erm right <pause dur=""short"" /> need to think about how this works <pause dur=""short"" /> so can be up and down <pause dur=""short"" /> yeah you normally <trunc>p</trunc>play that on these",38,19_29,game pause dur short seem working though pause dur short woah pause dur short weird pause dur short erm right pause dur short need think works pause dur short pause dur short yeah normally trunc p trunc play,19-29,38
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,216,"A W <pause dur=""short"" /> w A S D or whatever",8,19_29,w pause dur short w whatever,19-29,6
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,218,<unclear>remember</unclear> these?,2,19_29,unclear remember unclear,19-29,3
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,223,do you normally play games with the controller then?,10,19_29,normally play games controller,19-29,4
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,224,what what it can pick up the mouse as the controller that's a bit weird,16,19_29,pick mouse controller bit weird,19-29,5
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,230,<trunc>go</trunc> that's weird,3,19_29,trunc go trunc weird,19-29,4
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,241,is it the same version that I know?,9,19_29,version know,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,248,maybe it'll work maybe it won't,8,19_29,maybe work maybe,19-29,3
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,254,weeks,1,19_29,weeks,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,259,do you remember that game you played like Evil something <unclear>Evil Mind</unclear> something,11,19_29,remember game played like evil something unclear evil mind unclear something,19-29,11
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,266,it was like a <trunc>s</trunc> visualised spreadsheet but a game,9,19_29,like trunc trunc visualised spreadsheet game,19-29,6
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,268,yeah,1,19_29,yeah,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,269,"you played <vocal desc=""laugh"" /> it quite a bit",6,19_29,played vocal desc laugh quite bit,19-29,6
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,273,"<vocal desc=""laugh"" />",0,19_29,vocal desc laugh,19-29,3
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,283,"<vocal desc=""laugh"" />",0,19_29,vocal desc laugh,19-29,3
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,285,well this isn't working,5,19_29,well working,19-29,2
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,293,I like that one as well,6,19_29,like one well,19-29,3
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,300,erm terabyte it's split up between quite a few things like,12,19_29,erm terabyte split quite things like,19-29,6
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,308,I don't think it's gonna rain,9,19_29,think gonna rain,19-29,3
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,311,the dew starts coming out,5,19_29,dew starts coming,19-29,3
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,313,what are you looking for?,6,19_29,looking,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,316,"whoops <pause dur=""short"" /> where is it?",5,19_29,whoops pause dur short,19-29,4
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,319,have you got a WD My Passport one as well?,11,19_29,got wd passport one well,19-29,5
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,320,"not My <trunc>s</trunc> Passport this is the cheaper one <pause dur=""short"" /> just a WD",11,19_29,trunc trunc passport cheaper one pause dur short wd,19-29,9
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,323,"hang on a sec <pause dur=""short"" /> once you've done that",9,19_29,hang sec pause dur short done,19-29,6
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,328,"yeah <pause dur=""short"" /> I think maybe I don't have the the erm other controllers actually enabled <pause dur=""short"" /> ah here we go <pause dur=""short"" /> standard controller <pause dur=""short"" /> standard controller <pause dur=""short"" /> let's try that",27,19_29,yeah pause dur short think maybe erm controllers actually enabled pause dur short ah go pause dur short standard controller pause dur short standard controller pause dur short let try,19-29,30
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,332,right there you go,4,19_29,right go,19-29,2
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,337,so what is it in general? can you remember?,11,19_29,general remember,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,338,just gonna get the wireless keyboard,7,19_29,gonna get wireless keyboard,19-29,4
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,340,these controllers these controllers are gonna be a pain to remember,12,19_29,controllers controllers gonna pain remember,19-29,5
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,342,erm right,2,19_29,erm right,19-29,2
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,343,is this just you against me first?,8,19_29,first,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,345,Olimar? what is that? oh he's from erm,11,19_29,olimar oh erm,19-29,3
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,348,"I've got that as well <pause dur=""short"" /> yeah",7,19_29,got well pause dur short yeah,19-29,6
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,352,"Marth <pause dur=""short"" /> marth <pause dur=""short"" /> yeah he's that's Marth there",9,19_29,marth pause dur short marth pause dur short yeah marth,19-29,10
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,353,Fox was quite good,4,19_29,fox quite good,19-29,3
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,354,yeah,1,19_29,yeah,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,357,mm,1,19_29,mm,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,359,"right okay <pause dur=""short"" /> try and set them up not too hard",10,19_29,right okay pause dur short try set hard,19-29,8
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,362,erm,1,19_29,erm,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,363,you gotta keep beating them up until you can throw em completely off the screen?,17,19_29,gotta keep beating throw em completely screen,19-29,7
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,365,"that was a good concept <pause dur=""short"" /> er it was like the only game that fighting ever did that",17,19_29,good concept pause dur short er like game fighting ever,19-29,10
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,369,"and I'm Zelda <pause dur=""short"" /> oh it's jittery",8,19_29,zelda pause dur short oh jittery,19-29,6
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,380,let's try the different Dolphin,6,19_29,let try different dolphin,19-29,4
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,381,"yeah I remember having a Dolphin <pause dur=""short"" /> don't tell me you have to set it all up again?",19,19_29,yeah remember dolphin pause dur short tell set,19-29,8
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,382,"I dunno <pause dur=""short"" /> I just loaded that one maybe that was just a shortcut to the same one",19,19_29,dunno pause dur short loaded one maybe shortcut one,19-29,9
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,386,"I dunno I probably don't have things set right <pause dur=""short"" /> I don't remember how it's supposed to be",22,19_29,dunno probably things set right pause dur short remember supposed,19-29,10
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,387,"<vocal desc=""laugh"" />",0,19_29,vocal desc laugh,19-29,3
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,389,I mean it was running,5,19_29,mean running,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,390,yeah,1,19_29,yeah,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,396,"so Dolphin Super Smash Bro Brawl <pause dur=""short"" /> settings",7,19_29,dolphin super smash bro brawl pause dur short settings,19-29,9
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,397,do you have to set it up differently for every game then?,13,19_29,set differently every game,19-29,4
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,398,"sometimes yeah <pause dur=""short"" /> I had it set up perfectly but then I changed I updated to the new version and I lost my settings",23,19_29,sometimes yeah pause dur short set perfectly changed updated new version lost settings,19-29,13
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,399,oh no,2,19_29,oh,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,401,"skip graphics <pause dur=""short"" /> skip EFB access from CPU",7,19_29,skip graphics pause dur short skip efb access cpu,19-29,9
